ITEM: TIMESTEP
100000
ITEM: NUMBER OF ATOMS
15812
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
0.0000000000000000e+00 4.0459931049461368e+01
ITEM: ATOMS id vx vy vz
13143 2.53716 0.243523 4.0985
6282 0.442228 -2.01554 3.62267
14223 -1.79893 1.44631 1.53892
425 0.732477 -1.49079 -0.0259928
4922 0.588972 4.26635 3.39406
13757 0.736497 -1.8913 -0.580518
8071 0.193887 -0.790334 -1.94742
15367 1.23273 -3.6849 -1.57983
9864 -1.35546 -1.33492 -1.28281
15330 -1.14102 -0.918008 0.117475
8857 -0.174244 0.729201 -0.401587
7654 -0.304034 -0.773335 -2.48864
2626 -0.0801311 0.203209 -2.71572
14362 -1.52481 -2.86462 -1.31985
15072 -2.95642 -1.80959 -0.338718
7845 -3.63099 -0.859345 2.89885
6572 -0.108379 -0.852364 -1.23805
14506 -0.277629 0.735314 1.28424
14165 -0.218959 1.45099 1.95497
3643 -3.09517 -0.0592629 0.918511
4270 2.43945 4.03527 1.71542
13505 4.27798 -0.0790553 -0.93687
3848 -0.126541 -1.38615 0.90913
12827 -1.30777 -0.147384 0.348653
13535 2.06686 0.984254 -0.810727
6018 0.389353 -0.665561 -1.11337
6912 -0.635253 0.722872 -0.743911
903 2.43481 3.0357 0.611141
12707 -1.47096 -1.57264 1.66251
5662 -2.05463 -1.95747 -1.12814
257 0.0735663 0.110455 -1.15219
276 0.579833 -3.71239 -3.40426
14667 -2.57102 -2.51492 1.12343
1316 -0.168716 3.12741 0.238265
7803 -4.12789 1.41945 -0.288812
11781 -1.08719 -0.654831 2.11171
4796 2.05845 1.70797 -0.213745
1353 -1.469 0.447557 0.553766
13962 1.48716 -2.10023 3.22709
4301 -2.08189 2.79403 -0.0616905
11189 -1.20678 -0.837186 0.275951
11074 -0.555503 1.15093 3.54482
13168 0.224102 -1.75294 2.95433
6053 1.09945 0.92908 -0.393415
15085 -0.104044 1.2879 -0.897896
12985 0.945702 -1.90722 -4.86649
5088 -0.0548114 0.0308175 -0.818636
5002 0.220919 -0.895078 -0.442872
14117 -3.783 3.04584 1.40227
11379 1.14736 0.288275 0.0716178
880 4.46118 0.565904 1.43028
8822 -0.464067 2.69288 2.04619
8278 1.81993 -0.6119 3.20278
3168 2.6569 1.37653 2.72346
3835 -3.422 -1.16385 2.51891
2895 -0.748339 4.18298 0.616635
13484 2.10625 -2.5333 1.36807
11333 -0.995943 0.717556 -2.30625
10557 -0.418614 0.989987 1.92496
6173 0.564977 0.843215 3.08057
7604 -0.115913 -1.04162 0.269974
14226 -1.77074 0.667652 -0.152505
10846 -0.646378 0.397734 1.62021
1881 0.098213 -0.551579 0.217677
7600 1.7934 -0.68537 -1.10215
14736 -0.938585 0.393664 -1.98046
7189 2.5952 -0.45485 -0.869364
10649 -1.22521 0.366547 3.26864
4013 -0.316791 1.81125 -0.879975
123 -0.666319 0.462323 1.70833
5560 1.7048 -0.55105 3.00008
9123 -3.99526 2.3774 -1.06804
1444 0.209673 -0.554825 -1.10639
2113 0.987749 2.19567 0.785045
13424 2.16802 -0.922676 -1.52025
7017 -0.987271 -0.140913 -2.65317
1123 1.55077 1.20503 0.270098
14775 2.06361 1.52751 2.42989
8046 -1.59955 0.218568 -0.180281
15612 -1.66643 0.670017 1.16628
14609 -1.23833 0.788885 0.658301
10158 -2.74392 -0.653273 3.00105
1748 -2.52979 -1.38425 1.18758
8296 -2.39696 -1.14666 1.27162
12808 -2.58572 1.44089 2.66025
355 1.25828 3.35316 -1.07206
13453 2.46741 3.05035 1.29345
3558 1.14842 1.06857 -1.14674
9490 1.04221 0.0995511 -0.214537
6922 1.87496 -1.5813 -3.03429
9530 -0.990499 3.18328 1.38602
15114 -0.395291 1.17897 0.459123
13053 -2.12056 3.31276 0.0502943
1805 1.03567 2.52788 -0.658862
5535 1.15797 -2.48836 0.193767
11331 2.62102 -0.515653 0.655651
9297 3.40358 0.717713 -0.422982
5794 1.32944 4.02992 -2.04088
11626 2.54659 0.0102254 -0.0540616
4947 -0.768152 0.0931055 -1.35906
9524 1.49253 -0.270159 -0.0122565
9028 1.1058 3.73725 -0.940803
15754 -3.26938 -1.4496 0.258364
1503 -2.56428 2.35967 -1.91744
5895 2.09923 -0.413915 1.50147
9104 0.00863743 -0.913117 1.91782
13136 1.4566 -0.64088 -1.61639
9877 -0.900099 0.71889 -0.232358
4943 0.193367 1.32748 1.15426
6307 -2.22132 -0.210721 -2.31245
9171 1.67018 -1.57536 -2.57481
11757 0.352008 1.0754 0.50108
4080 -2.64292 -2.99275 1.5707
12653 2.65834 -1.30962 -0.272113
15624 0.414735 1.68688 1.82115
13114 0.0610691 1.19827 1.97557
15168 -1.50597 3.6638 0.269377
13277 -2.29129 1.22307 -0.0582418
6686 -1.04486 -1.29733 -1.70377
5862 2.50776 0.966998 2.40347
3475 -0.798159 -0.381445 -1.53785
9408 -3.04663 0.693044 0.137321
8146 5.31511 1.89459 -1.04437
1976 -1.01595 1.86156 -0.59646
5115 1.13482 -0.746204 -0.720319
2299 -2.27628 -0.305886 -1.00587
9592 -1.04166 0.32245 -2.07003
1667 -0.208304 2.51703 2.29037
15017 3.9113 -0.187886 0.0502662
10293 -0.762072 -1.34138 -2.03203
2741 2.26851 -2.79973 -1.35368
10184 0.765175 0.899298 3.25433
7789 1.30031 1.05892 0.388128
15264 -1.86612 -4.84 0.64997
3755 -2.90323 -0.614547 -1.49587
12414 -3.54341 0.150565 2.36457
3000 -3.79227 3.00951 -3.32229
11270 1.1803 -1.23157 0.851883
5603 1.89941 1.68117 -2.66335
11944 -0.787454 1.70827 -2.99726
11814 2.47882 0.748979 -2.87276
11895 0.719291 -3.07348 -0.230379
1335 -3.44541 0.853781 -0.874762
2265 0.56185 1.93261 -4.10451
149 1.3538 1.64179 3.62362
11675 -0.591404 -0.638619 1.24502
5593 -3.55418 -0.114987 -2.79823
8799 -0.769906 0.200159 -5.33181
5070 0.583219 -2.49685 1.04119
5744 -2.46714 -0.439698 2.20907
10842 -0.0807116 -2.25229 -0.575773
2068 0.320054 -0.2251 3.42005
14291 1.61524 0.61057 0.603925
327 0.0529264 1.12965 -0.864432
